timestamp,sequence,raw_value,filtered_value,temperature,humidity,distance,status
2026-09-08T18:00:38.480743,0,873,873,,,16.2,NORMAL
2026-09-08T18:00:38.980601,1,864,866,28.6,58.6,15.7,NORMAL
2026-09-08T18:00:39.507269,2,851,855,28.6,58.6,16.2,NORMAL
2026-09-08T18:00:39.987220,3,841,844,28.6,58.6,16.2,NORMAL
2026-09-08T18:00:40.489549,4,837,838,28.6,58.6,17.1,NORMAL
2026-09-08T18:00:40.982115,5,839,838,28.6,58.6,16.7,NORMAL
2026-09-08T18:00:41.494105,6,843,841,28.6,58.6,17.6,NORMAL
2026-09-08T18:00:41.996659,7,847,846,28.6,58.6,16.3,NORMAL
2026-09-08T18:00:42.487436,8,841,844,28.6,58.6,16.3,NORMAL
2026-09-08T18:00:42.987571,9,832,833,28.6,58.6,16.8,NORMAL
2026-09-08T18:00:43.495200,10,829,830,28.6,58.6,15.9,NORMAL
2026-09-08T18:00:43.998470,11,827,826,28.6,58.6,16.0,NORMAL
2026-09-08T18:00:44.509961,12,835,831,28.6,58.6,49.2,NORMAL
2026-09-08T18:00:45.008137,13,834,836,28.6,58.6,47.4,NORMAL
2026-09-08T18:00:45.504730,14,826,829,28.6,58.6,51.1,NORMAL
2026-09-08T18:00:46.004980,15,824,823,28.6,58.6,46.9,NORMAL
2026-09-08T18:00:46.513435,16,821,821,28.6,58.6,47.8,NORMAL
2026-09-08T18:00:47.017887,17,824,823,28.6,58.7,47.8,NORMAL
2026-09-08T18:00:47.515789,18,831,829,28.6,58.7,48.3,NORMAL
2026-09-08T18:00:48.016850,19,828,829,28.6,58.7,48.3,NORMAL
2026-09-08T18:00:48.515905,20,822,824,28.6,58.7,48.3,NORMAL
2026-09-08T18:00:49.029178,21,817,817,28.6,58.7,48.7,NORMAL
2026-09-08T18:00:49.526556,22,817,816,28.6,58.7,48.7,NORMAL
2026-09-08T18:00:50.028555,23,820,818,28.6,58.7,47.8,NORMAL
2026-09-08T18:00:50.534436,24,828,825,28.6,58.7,48.7,NORMAL
2026-09-08T18:00:51.040430,25,820,822,28.5,58.7,48.7,NORMAL
2026-09-08T18:00:51.539489,26,814,815,28.5,58.7,47.8,NORMAL
2026-09-08T18:00:52.040544,27,816,814,28.5,58.7,48.2,NORMAL
2026-09-08T18:00:52.541036,28,816,815,28.5,58.7,47.8,NORMAL
2026-09-08T18:00:53.036225,29,824,821,28.5,58.8,48.2,NORMAL
2026-09-08T18:00:53.549632,30,825,825,28.5,58.8,49.1,NORMAL
2026-09-08T18:00:54.047710,31,819,821,28.5,58.8,20.3,NORMAL
2026-09-08T18:00:54.548438,32,813,815,28.5,58.8,16.4,NORMAL
2026-09-08T18:00:55.045057,33,809,809,28.5,58.9,16.7,NORMAL
2026-09-08T18:00:55.556007,34,812,811,28.5,58.9,16.7,NORMAL
2026-09-08T18:00:56.049807,35,820,818,28.5,58.9,17.2,NORMAL
2026-09-08T18:00:56.559802,36,815,818,28.5,58.9,16.8,NORMAL
2026-09-08T18:00:57.064483,37,807,809,28.5,58.9,16.7,NORMAL
2026-09-08T18:00:57.565449,38,810,808,28.5,58.9,15.8,NORMAL
2026-09-08T18:00:58.053229,39,813,810,28.5,58.9,16.7,NORMAL
2026-09-08T18:00:58.563452,40,821,818,28.5,58.9,48.2,NORMAL
2026-09-08T18:00:59.066824,41,823,824,28.5,58.9,47.4,NORMAL
2026-09-08T18:00:59.563880,42,817,818,28.5,58.9,47.8,NORMAL
2026-09-08T18:01:00.078472,43,812,813,28.5,58.9,49.9,NORMAL
2026-09-08T18:01:00.579759,44,812,812,28.5,58.9,49.1,NORMAL
2026-09-08T18:01:01.081195,45,821,819,28.5,58.9,48.3,NORMAL
2026-09-08T18:01:01.573410,46,826,824,28.5,58.9,48.3,NORMAL
2026-09-08T18:01:02.088626,47,818,821,28.5,58.9,48.7,NORMAL
2026-09-08T18:01:02.579921,48,814,815,28.5,58.9,48.3,NORMAL
2026-09-08T18:01:03.085612,49,813,812,28.5,59.0,48.7,NORMAL
2026-09-08T18:01:03.596799,50,815,814,28.5,59.0,49.1,NORMAL
2026-09-08T18:01:04.098093,51,824,820,28.5,59.0,47.4,NORMAL
2026-09-08T18:01:04.599718,52,823,823,28.5,59.0,47.8,NORMAL
2026-09-08T18:01:05.103079,53,811,813,28.5,59.0,48.6,NORMAL
2026-09-08T18:01:05.599427,54,812,811,28.5,59.0,47.8,NORMAL
2026-09-08T18:01:06.100732,55,814,813,28.5,59.0,49.5,NORMAL
2026-09-08T18:01:06.598065,56,816,815,28.5,59.0,50.8,NORMAL
2026-09-08T18:01:07.113987,57,820,822,28.5,59.0,48.3,NORMAL
2026-09-08T18:01:07.614544,58,814,816,28.5,59.0,48.7,NORMAL
2026-09-08T18:01:08.116244,59,810,811,28.5,59.0,48.2,NORMAL
2026-09-08T18:01:08.609045,60,807,810,28.5,59.0,47.8,NORMAL
2026-09-08T18:01:09.110363,61,818,815,28.4,59.0,46.5,NORMAL
2026-09-08T18:01:09.622178,62,820,819,28.4,59.0,14.0,NORMAL
2026-09-08T18:01:10.122496,63,818,819,28.4,59.0,14.2,NORMAL
2026-09-08T18:01:10.619359,64,810,812,28.4,59.0,15.2,NORMAL
2026-09-08T18:01:11.118809,65,811,809,28.4,59.0,47.0,NORMAL
2026-09-08T18:01:11.629881,66,811,812,28.4,59.0,18.1,NORMAL
2026-09-08T18:01:12.130405,67,811,812,28.4,59.0,16.2,NORMAL
2026-09-08T18:01:12.632691,68,820,818,28.4,59.0,16.9,NORMAL
2026-09-08T18:01:13.136126,69,812,814,28.4,59.0,16.8,NORMAL
2026-09-08T18:01:13.630140,70,805,808,28.4,59.0,16.8,NORMAL
2026-09-08T18:01:14.131139,71,806,806,28.4,59.0,16.3,NORMAL
2026-09-08T18:01:14.641936,72,811,808,28.4,59.0,16.3,NORMAL
2026-09-08T18:01:15.145631,73,819,816,28.4,59.1,16.8,NORMAL
2026-09-08T18:01:15.644366,74,818,819,28.4,59.1,16.3,NORMAL
2026-09-08T18:01:16.145149,75,809,812,28.4,59.1,16.3,NORMAL
2026-09-08T18:01:16.645281,76,808,807,28.4,59.1,16.7,NORMAL
2026-09-08T18:01:17.152729,77,811,809,28.4,59.1,16.2,NORMAL
2026-09-08T18:01:17.653558,78,819,814,28.4,59.1,17.5,NORMAL
2026-09-08T18:01:18.155583,79,820,820,28.4,59.1,16.6,NORMAL
2026-09-08T18:01:18.649517,80,817,819,28.4,59.1,16.7,NORMAL
2026-09-08T18:01:19.163599,81,808,810,28.4,59.2,16.2,NORMAL
2026-09-08T18:01:19.665842,82,809,808,28.4,59.2,16.3,NORMAL
2026-09-08T18:01:20.167206,83,811,810,28.4,59.2,16.2,NORMAL
2026-09-08T18:01:20.668532,84,818,814,28.4,59.2,16.2,NORMAL
2026-09-08T18:01:21.173798,85,818,820,28.4,59.2,17.0,NORMAL
2026-09-08T18:01:21.674252,86,813,815,28.4,59.2,16.2,NORMAL
2026-09-08T18:01:22.176111,87,808,809,28.4,59.2,16.8,NORMAL
2026-09-08T18:01:22.669341,88,809,808,28.4,59.2,16.8,NORMAL
2026-09-08T18:01:23.170123,89,820,815,28.4,59.2,45.8,NORMAL
2026-09-08T18:01:23.709574,90,827,825,28.4,59.2,,NORMAL
2026-09-08T18:01:24.179082,91,825,826,28.4,59.2,47.8,NORMAL
2026-09-08T18:01:24.679128,92,815,818,28.4,59.2,47.8,NORMAL
2026-09-08T18:01:25.182777,93,813,812,28.4,59.2,13.6,NORMAL
2026-09-08T18:01:25.689772,94,807,810,28.4,59.2,18.8,NORMAL
2026-09-08T18:01:26.183036,95,813,811,28.4,59.2,19.2,NORMAL
2026-09-08T18:01:26.689211,96,819,817,28.4,59.2,19.1,NORMAL
2026-09-08T18:01:27.189157,97,812,815,28.4,59.3,18.6,NORMAL
2026-09-08T18:01:27.689448,98,807,809,28.4,59.3,18.6,NORMAL
2026-09-08T18:01:28.200645,99,809,807,28.4,59.3,19.0,NORMAL
2026-09-08T18:01:28.699008,100,812,810,28.4,59.3,20.8,NORMAL
2026-09-08T18:01:29.205417,101,820,818,28.4,59.3,21.3,NORMAL
2026-09-08T18:01:29.710358,102,816,818,28.4,59.3,48.3,NORMAL
2026-09-08T18:01:30.212701,103,812,814,28.4,59.3,47.8,NORMAL
2026-09-08T18:01:30.700079,104,809,810,28.4,59.3,19.4,NORMAL
2026-09-08T18:01:31.216056,105,814,811,28.4,59.3,18.5,NORMAL
2026-09-08T18:01:31.715290,106,818,815,28.4,59.3,18.1,NORMAL
2026-09-08T18:01:32.220440,107,822,822,28.4,59.3,48.7,NORMAL
2026-09-08T18:01:32.720237,108,816,818,28.4,59.3,18.6,NORMAL
2026-09-08T18:01:33.225432,109,808,810,28.4,59.3,47.8,NORMAL
2026-09-08T18:01:33.720845,110,812,809,28.4,59.3,20.3,NORMAL
2026-09-08T18:01:34.227896,111,815,813,28.4,59.3,47.4,NORMAL
2026-09-08T18:01:34.723074,112,823,820,28.4,59.3,20.2,NORMAL
2026-09-08T18:01:35.231991,113,817,818,28.4,59.3,18.4,NORMAL
2026-09-08T18:01:35.728811,114,817,816,28.4,59.3,18.8,NORMAL
2026-09-08T18:01:36.233185,115,816,815,28.4,59.3,20.0,NORMAL
2026-09-08T18:01:36.732937,116,812,813,28.4,59.3,18.0,NORMAL
2026-09-08T18:01:37.238819,117,819,819,28.4,59.3,20.0,NORMAL
2026-09-08T18:01:37.728005,118,816,820,28.4,59.3,18.2,NORMAL
2026-09-08T18:01:38.245545,119,812,813,28.4,59.3,19.5,NORMAL
